#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 FORCE AND MOMENT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged force and moment coefficients
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     EXAMPLE: 007.02
#
# 
#       NOMENCLATURE:
#         GRID_LEVEL:   Level of grid refinement (1-6)
#          GRID_SIZE:   Number of grid nodes or cells
#         CONTINUITY:   Residual of continuity equation (to 16 decimal points)
#          MOMENTUMX:   Residual of x momentum equation (to 16 decimal points)
#          MOMENTUMY:   Residual of y momentum equation (to 16 decimal points)
#          MOMENTUMZ:   Residual of z momentum equation (to 16 decimal points)
#             ENERGY:   Residual of x energy equation (to 16 decimal points)
#              TURB1:   Residual of the first turbulence model equation (to 16 decimal points)
#              TURB2:   Residual of the second turbulence model equation (to 16 decimal points)
#                 CL:   Coefficient of Lift            (total) (L/(0.5*rho_inf*U_inf^2*A)  )              Provided to eight decimal points
#                 CD:   Coefficient of Drag            (total) (D/(0.5*rho_inf*U_inf^2*A)  )              Provided to nine  decimal points
#                 CM:   Coefficient of Pitching Moment (total) (M/(0.5*rho_inf*U_inf^2*A*c)) (+ nose-up)  Provided to eight decimal points
#
#      OPTIONAL DATA:   Enter -999 for any optional data you are not submitting
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "003.04"


# Column     1            2             3            4             5            6            7            8         9        10       11        12        13
VARIABLES = "ITERATION"  "GRID_LEVEL"  "GRID_SIZE"  "CONTINUITY"  "MOMENTUMX"  "MOMENTUMY"  "MOMENTUMZ"  "ENERGY"  "TURB1"  "TURB2"  "CL_TOT"  "CD_TOT"  "CM_TOT"

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "003.05"
DATASETAUXDATA SubmissionDate  = "July 14, 2025"
DATASETAUXDATA Name            = "Ben Rider"
DATASETAUXDATA Email           = "ben.j.rider2@boeing.com"
DATASETAUXDATA Institution     = "The Boeing Company - BCA"
DATASETAUXDATA SolverName      = "FELight"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SA-neg"
DATASETAUXDATA GridId          = "Cadence_Unstructured_REV02"
DATASETAUXDATA Notes           = ""
DATASETAUXDATA Discretization  = "Finite element"
DATASETAUXDATA Order           = ""
DATASETAUXDATA DistanceCalc    = ""
DATASETAUXDATA Notes           = ""


#-------------------------------------------------------------------------------
#  REQUIRED:  RESIDUAL DATA
#-------------------------------------------------------------------------------
ZONE T="003.04 - Alpha 1.50 - Grid Level 1"
AUXDATA Tstatic         = "487.8 R"
AUXDATA GridFileName    = "ONERA-OAT15A_Cadence_Unstructured_REV02_Level-1"
             0        1      83924 1.00000000E+00 1.00000000E+00 1.00000000E+00 0.00000000E+00 1.00000000E+00 1.00000000E+00 0.00000000E+00	  0.000000000000   0.000000000000   0.000000000000
             1        1      83924 2.52906500E-01 7.54270500E-02 1.63587300E-01 0.00000000E+00 5.49318700E-01 1.83397700E-05 0.00000000E+00	  0.000342021176   0.039255817521   0.000051122099
             2        1      83924 1.46377400E-01 6.30081600E-02 8.17041900E-02 0.00000000E+00 3.44950300E-01 1.78896800E-05 0.00000000E+00	  0.036595159643   0.091021505403   0.021177794553
             3        1      83924 9.46279600E-02 5.35522900E-02 4.90669900E-02 0.00000000E+00 2.43074700E-01 1.63360900E-05 0.00000000E+00	  0.071284357158   0.140190849487   0.041185862652
             4        1      83924 8.04784700E-02 5.04418000E-02 6.28228100E-02 0.00000000E+00 2.15790900E-01 1.50214700E-05 0.00000000E+00	  0.103307335610   0.187626529193   0.059728764548
             5        1      83924 9.11179700E-02 5.85604000E-02 8.46093800E-02 0.00000000E+00 2.32504500E-01 1.62360000E-05 0.00000000E+00	  0.125476833376   0.211564428694   0.072167082719
             6        1      83924 1.19102900E-01 7.13384700E-02 1.02255100E-01 0.00000000E+00 2.87598400E-01 2.08441100E-05 0.00000000E+00	  0.139748459636   0.195725718616   0.077637211030
             7        1      83924 1.01520900E-01 6.43402200E-02 8.57032900E-02 0.00000000E+00 2.21628400E-01 1.91189500E-05 0.00000000E+00	  0.150144655963   0.166621809623   0.080548177493
             8        1      83924 9.46497000E-02 6.03636400E-02 7.02523500E-02 0.00000000E+00 1.95668200E-01 2.33295300E-05 0.00000000E+00	  0.158653017777   0.146739943862   0.085249119115
             9        1      83924 9.24094100E-02 5.94415200E-02 5.97689400E-02 0.00000000E+00 1.90948500E-01 3.49943400E-05 0.00000000E+00	  0.167189009697   0.132615221219   0.092853148079
            10        1      83924 9.30157900E-02 6.24927800E-02 5.73755900E-02 0.00000000E+00 1.96843600E-01 5.49026500E-05 0.00000000E+00	  0.177670628463   0.122294344476   0.104773348927
            11        1      83924 9.08988600E-02 6.36204200E-02 6.07512400E-02 0.00000000E+00 1.91086000E-01 8.37357700E-05 0.00000000E+00	  0.201203939061   0.111064638415   0.126350625033
            12        1      83924 8.57941100E-02 6.32544300E-02 6.16141400E-02 0.00000000E+00 1.76500200E-01 1.15843500E-04 0.00000000E+00	  0.258654928435   0.091373948110   0.156486926889
            13        1      83924 6.57372800E-02 6.80418600E-02 4.20822900E-02 0.00000000E+00 1.45246400E-01 1.60664000E-04 0.00000000E+00	  0.363039329562   0.062196822287   0.185973252907
            14        1      83924 6.05991700E-02 5.20734900E-02 3.18190400E-02 0.00000000E+00 1.36140400E-01 1.99219900E-04 0.00000000E+00	  0.441930870127   0.045528438756   0.191574406480
            15        1      83924 9.55676800E-02 4.89184200E-02 3.41499400E-02 0.00000000E+00 2.21347600E-01 2.78533400E-04 0.00000000E+00	  0.509212893439   0.034848278627   0.189540116747
            16        1      83924 1.67262900E-01 5.99940000E-02 4.95902400E-02 0.00000000E+00 4.11406700E-01 4.05914200E-04 0.00000000E+00	  0.565080291259   0.028914369921   0.182614648802
            17        1      83924 1.76090500E-01 7.18197300E-02 6.40869100E-02 0.00000000E+00 4.47553500E-01 5.98700300E-04 0.00000000E+00	  0.609008695517   0.026190309074   0.172857728468
            18        1      83924 1.83237600E-01 7.23379000E-02 8.11157400E-02 0.00000000E+00 5.00348500E-01 8.70156500E-04 0.00000000E+00	  0.637460283634   0.025304700301   0.163114770552
            19        1      83924 2.01665700E-01 7.94719500E-02 7.14431000E-02 0.00000000E+00 5.33515000E-01 1.22540600E-03 0.00000000E+00	  0.655223912198   0.024856288323   0.154463389230
            20        1      83924 1.69416600E-01 7.37003100E-02 5.94810300E-02 0.00000000E+00 4.43625300E-01 1.69511000E-03 0.00000000E+00	  0.666017533223   0.024257961802   0.146777921384
            21        1      83924 1.50481400E-01 6.78382600E-02 4.37416200E-02 0.00000000E+00 3.72762100E-01 2.29524900E-03 0.00000000E+00	  0.671731273385   0.023375259243   0.140071373168
